name,description,difficulty,trick_type,category,imageUrl,videoUrl,prerequisites
Ollie,"Basic trick for skateboarding",BEGINNER,STREET,Fundamental,http://example.com/ollie.jpg,http://example.com/ollie.mp4,
Nollie,"Ollie performed with the front foot",BEGINNER,STREET,Fundamental,http://example.com/nollie.jpg,http://example.com/nollie.mp4,Ollie
Switch Ollie,"Ollie executed in switch stance",BEGINNER,STREET,Fundamental,http://example.com/switch-ollie.jpg,http://example.com/switch-ollie.mp4,Ollie
Fakie Ollie,"Ollie performed while rolling fakie",BEGINNER,STREET,Fundamental,http://example.com/fakie-ollie.jpg,http://example.com/fakie-ollie.mp4,Ollie
Shove-it,"Board spins 180° under rider",BEGINNER,STREET,Fundamental,http://example.com/shove-it.jpg,http://example.com/shove-it.mp4,Ollie
Pop Shove-it,"Shove-it popped higher with back foot",BEGINNER,STREET,Fundamental,http://example.com/pop-shove-it.jpg,http://example.com/pop-shove-it.mp4,Shove-it
Frontside Shove-it,"Frontside rotation of the board 180°",BEGINNER,STREET,Fundamental,http://example.com/frontside-shove-it.jpg,http://example.com/frontside-shove-it.mp4,Shove-it
360 Shove-it,"Board spins a full 360° under rider",INTERMEDIATE,STREET,Spin Tricks,http://example.com/360-shove-it.jpg,http://example.com/360-shove-it.mp4,"Shove-it;Pop Shove-it"
Body Varial,"Rider rotates 180° while board stays straight",BEGINNER,STREET,Spin Tricks,http://example.com/body-varial.jpg,http://example.com/body-varial.mp4,Ollie
Backside 180,"Rider and board spin backside 180°",INTERMEDIATE,STREET,Spin Tricks,http://example.com/backside-180.jpg,http://example.com/backside-180.mp4,Ollie
Frontside 180,"Rider and board spin frontside 180°",INTERMEDIATE,STREET,Spin Tricks,http://example.com/frontside-180.jpg,http://example.com/frontside-180.mp4,Ollie
Half Cab,"Fakie backside 180 with board",INTERMEDIATE,STREET,Spin Tricks,http://example.com/half-cab.jpg,http://example.com/half-cab.mp4,Fakie Ollie
Bigspin,"Shove-it with rider spinning 180°",INTERMEDIATE,STREET,Spin Tricks,http://example.com/bigspin.jpg,http://example.com/bigspin.mp4,"Shove-it;Body Varial"
Fakie Bigspin,"Fakie shove-it combined with body varial",INTERMEDIATE,STREET,Spin Tricks,http://example.com/fakie-bigspin.jpg,http://example.com/fakie-bigspin.mp4,"Fakie Ollie;Shove-it"
Kickflip,"Flip trick with board rotation",INTERMEDIATE,STREET,Flip Tricks,http://example.com/kickflip.jpg,http://example.com/kickflip.mp4,Ollie
Heelflip,"Opposite of kickflip",INTERMEDIATE,STREET,Flip Tricks,http://example.com/heelflip.jpg,http://example.com/heelflip.mp4,Ollie
Varial Kickflip,"Combination of kickflip and shove-it",ADVANCED,STREET,Flip Tricks,http://example.com/varial-kickflip.jpg,http://example.com/varial-kickflip.mp4,"Kickflip;Shove-it"
